
OPENMP DISPLAY ENVIRONMENT BEGIN
   _OPENMP='201611'
  [host] OMP_CANCELLATION='FALSE'
  [host] OMP_DEFAULT_DEVICE='0'
  [host] OMP_DISPLAY_ENV='TRUE'
  [host] OMP_DYNAMIC='FALSE'
  [host] OMP_MAX_ACTIVE_LEVELS='2147483647'
  [host] OMP_MAX_TASK_PRIORITY='0'
  [host] OMP_NESTED='FALSE'
  [host] OMP_NUM_THREADS='1'
  [host] OMP_PLACES='cores'
  [host] OMP_PROC_BIND='close'
  [host] OMP_SCHEDULE='static'
  [host] OMP_STACKSIZE='8M'
   OMP_TARGET_OFFLOAD=DEFAULT
  [host] OMP_THREAD_LIMIT='2147483647'
  [host] OMP_TOOL_LIBRARIES: value is not defined
  [host] OMP_WAIT_POLICY='ACTIVE'
OPENMP DISPLAY ENVIRONMENT END


mtxfile_read: 1.399870 seconds (22.8 MB/s)
csr_from_coo: 0.017171 seconds, 70304 rows, 70304 columns, 1528092 nonzeros, 1 to 63 nonzeros per row, 1 threads, 70304 to 70304 rows per thread, 1528092 to 1528092 nonzeros per thread
[PAPI util] using event file: share/papi_util_a64fx_memdp.txt
enabling sector cache (3 L2 ways, 1 L1 ways)
gemv (warmup): 0.002052 seconds (0.745 Gnz/s, 1.489 Gflop/s, 9.8 to 15.4 GB/s)
gemv (warmup): 0.001972 seconds (0.775 Gnz/s, 1.550 Gflop/s, 10.2 to 16.1 GB/s)
gemv (warmup): 0.001972 seconds (0.775 Gnz/s, 1.550 Gflop/s, 10.2 to 16.1 GB/s)
[PAPI util] start recording events for region "gemv"
gemv: 0.001972 seconds (0.775 Gnz/s, 1.550 Gflop/s, 10.2 to 16.1 GB/s)
gemv: 0.001971 seconds (0.775 Gnz/s, 1.551 Gflop/s, 10.2 to 16.1 GB/s)
gemv: 0.001982 seconds (0.771 Gnz/s, 1.542 Gflop/s, 10.1 to 16.0 GB/s)
gemv: 0.001971 seconds (0.775 Gnz/s, 1.550 Gflop/s, 10.2 to 16.1 GB/s)
gemv: 0.001971 seconds (0.775 Gnz/s, 1.550 Gflop/s, 10.2 to 16.1 GB/s)
gemv: 0.001971 seconds (0.775 Gnz/s, 1.551 Gflop/s, 10.2 to 16.1 GB/s)
gemv: 0.001972 seconds (0.775 Gnz/s, 1.550 Gflop/s, 10.2 to 16.1 GB/s)
gemv: 0.001982 seconds (0.771 Gnz/s, 1.542 Gflop/s, 10.1 to 16.0 GB/s)
gemv: 0.001971 seconds (0.775 Gnz/s, 1.551 Gflop/s, 10.2 to 16.1 GB/s)
gemv: 0.001972 seconds (0.775 Gnz/s, 1.550 Gflop/s, 10.2 to 16.1 GB/s)
gemv: 0.001973 seconds (0.774 Gnz/s, 1.549 Gflop/s, 10.1 to 16.1 GB/s)
gemv: 0.001971 seconds (0.775 Gnz/s, 1.551 Gflop/s, 10.2 to 16.1 GB/s)
