
OPENMP DISPLAY ENVIRONMENT BEGIN
   _OPENMP='201611'
  [host] OMP_CANCELLATION='FALSE'
  [host] OMP_DEFAULT_DEVICE='0'
  [host] OMP_DISPLAY_ENV='TRUE'
  [host] OMP_DYNAMIC='FALSE'
  [host] OMP_MAX_ACTIVE_LEVELS='2147483647'
  [host] OMP_MAX_TASK_PRIORITY='0'
  [host] OMP_NESTED='FALSE'
  [host] OMP_NUM_THREADS='1'
  [host] OMP_PLACES='cores'
  [host] OMP_PROC_BIND='close'
  [host] OMP_SCHEDULE='static'
  [host] OMP_STACKSIZE='8M'
   OMP_TARGET_OFFLOAD=DEFAULT
  [host] OMP_THREAD_LIMIT='2147483647'
  [host] OMP_TOOL_LIBRARIES: value is not defined
  [host] OMP_WAIT_POLICY='ACTIVE'
OPENMP DISPLAY ENVIRONMENT END


mtxfile_read: 1.370569 seconds (23.3 MB/s)
csr_from_coo: 0.017156 seconds, 70304 rows, 70304 columns, 1528092 nonzeros, 1 to 63 nonzeros per row, 1 threads, 70304 to 70304 rows per thread, 1528092 to 1528092 nonzeros per thread
[PAPI util] using event file: share/papi_util_a64fx_memdp.txt
enabling sector cache (11 L2 ways, 1 L1 ways)
gemv (warmup): 0.002055 seconds (0.743 Gnz/s, 1.487 Gflop/s, 9.7 to 15.4 GB/s)
gemv (warmup): 0.002018 seconds (0.757 Gnz/s, 1.515 Gflop/s, 9.9 to 15.7 GB/s)
gemv (warmup): 0.002013 seconds (0.759 Gnz/s, 1.518 Gflop/s, 9.9 to 15.7 GB/s)
[PAPI util] start recording events for region "gemv"
gemv: 0.002017 seconds (0.758 Gnz/s, 1.515 Gflop/s, 9.9 to 15.7 GB/s)
gemv: 0.002030 seconds (0.753 Gnz/s, 1.505 Gflop/s, 9.9 to 15.6 GB/s)
gemv: 0.002016 seconds (0.758 Gnz/s, 1.516 Gflop/s, 9.9 to 15.7 GB/s)
gemv: 0.002016 seconds (0.758 Gnz/s, 1.516 Gflop/s, 9.9 to 15.7 GB/s)
gemv: 0.002014 seconds (0.759 Gnz/s, 1.517 Gflop/s, 9.9 to 15.7 GB/s)
gemv: 0.002017 seconds (0.758 Gnz/s, 1.515 Gflop/s, 9.9 to 15.7 GB/s)
gemv: 0.002030 seconds (0.753 Gnz/s, 1.506 Gflop/s, 9.9 to 15.6 GB/s)
