matrix,nnz,nrows,cache_id,shared,mindist,count
(null),45030389,3566907,0,0,0,12206595
(null),45030389,3566907,0,0,64,1619560
(null),45030389,3566907,0,0,128,1119852
(null),45030389,3566907,0,0,192,876635
(null),45030389,3566907,0,0,256,7794977
(null),45030389,3566907,0,0,2048,3418547
(null),45030389,3566907,0,0,4096,2267518
(null),45030389,3566907,0,0,6144,1738599
(null),45030389,3566907,0,0,8192,1437246
(null),45030389,3566907,0,0,10240,1241006
(null),45030389,3566907,0,0,12288,1099893
(null),45030389,3566907,0,0,14336,995942
(null),45030389,3566907,0,0,16384,909745
(null),45030389,3566907,0,0,18432,820733
(null),45030389,3566907,0,0,20480,747968
(null),45030389,3566907,0,0,22528,689776
(null),45030389,3566907,0,0,24576,648963
(null),45030389,3566907,0,0,26624,617651
(null),45030389,3566907,0,0,28672,586639
(null),45030389,3566907,0,0,30720,550161
(null),45030389,3566907,0,0,32768,10776198
(null),45030389,3566907,0,0,18446744073709551615,0
(null),45030389,3566907,0,1,0,12206595
(null),45030389,3566907,0,1,64,1619560
(null),45030389,3566907,0,1,128,1119852
(null),45030389,3566907,0,1,192,876635
(null),45030389,3566907,0,1,256,7794977
(null),45030389,3566907,0,1,2048,3418547
(null),45030389,3566907,0,1,4096,2267518
(null),45030389,3566907,0,1,6144,1738599
(null),45030389,3566907,0,1,8192,1437246
(null),45030389,3566907,0,1,10240,1241006
(null),45030389,3566907,0,1,12288,1099893
(null),45030389,3566907,0,1,14336,995942
(null),45030389,3566907,0,1,16384,909745
(null),45030389,3566907,0,1,18432,820733
(null),45030389,3566907,0,1,20480,747968
(null),45030389,3566907,0,1,22528,689776
(null),45030389,3566907,0,1,24576,648963
(null),45030389,3566907,0,1,26624,617651
(null),45030389,3566907,0,1,28672,586639
(null),45030389,3566907,0,1,30720,550161
(null),45030389,3566907,0,1,32768,10776198
(null),45030389,3566907,0,1,18446744073709551615,0
(null),45030389,3566907,1,1,0,0
(null),45030389,3566907,1,1,64,0
(null),45030389,3566907,1,1,128,0
(null),45030389,3566907,1,1,192,0
(null),45030389,3566907,1,1,256,0
(null),45030389,3566907,1,1,2048,0
(null),45030389,3566907,1,1,4096,0
(null),45030389,3566907,1,1,6144,0
(null),45030389,3566907,1,1,8192,0
(null),45030389,3566907,1,1,10240,0
(null),45030389,3566907,1,1,12288,0
(null),45030389,3566907,1,1,14336,0
(null),45030389,3566907,1,1,16384,0
(null),45030389,3566907,1,1,18432,0
(null),45030389,3566907,1,1,20480,0
(null),45030389,3566907,1,1,22528,0
(null),45030389,3566907,1,1,24576,0
(null),45030389,3566907,1,1,26624,0
(null),45030389,3566907,1,1,28672,0
(null),45030389,3566907,1,1,30720,0
(null),45030389,3566907,1,1,32768,0
(null),45030389,3566907,1,1,18446744073709551615,0
(null),45030389,3566907,2,1,0,0
(null),45030389,3566907,2,1,64,0
(null),45030389,3566907,2,1,128,0
(null),45030389,3566907,2,1,192,0
(null),45030389,3566907,2,1,256,0
(null),45030389,3566907,2,1,2048,0
(null),45030389,3566907,2,1,4096,0
(null),45030389,3566907,2,1,6144,0
(null),45030389,3566907,2,1,8192,0
(null),45030389,3566907,2,1,10240,0
(null),45030389,3566907,2,1,12288,0
(null),45030389,3566907,2,1,14336,0
(null),45030389,3566907,2,1,16384,0
(null),45030389,3566907,2,1,18432,0
(null),45030389,3566907,2,1,20480,0
(null),45030389,3566907,2,1,22528,0
(null),45030389,3566907,2,1,24576,0
(null),45030389,3566907,2,1,26624,0
(null),45030389,3566907,2,1,28672,0
(null),45030389,3566907,2,1,30720,0
(null),45030389,3566907,2,1,32768,0
(null),45030389,3566907,2,1,18446744073709551615,0
(null),45030389,3566907,3,1,0,0
(null),45030389,3566907,3,1,64,0
(null),45030389,3566907,3,1,128,0
(null),45030389,3566907,3,1,192,0
(null),45030389,3566907,3,1,256,0
(null),45030389,3566907,3,1,2048,0
(null),45030389,3566907,3,1,4096,0
(null),45030389,3566907,3,1,6144,0
(null),45030389,3566907,3,1,8192,0
(null),45030389,3566907,3,1,10240,0
(null),45030389,3566907,3,1,12288,0
(null),45030389,3566907,3,1,14336,0
(null),45030389,3566907,3,1,16384,0
(null),45030389,3566907,3,1,18432,0
(null),45030389,3566907,3,1,20480,0
(null),45030389,3566907,3,1,22528,0
(null),45030389,3566907,3,1,24576,0
(null),45030389,3566907,3,1,26624,0
(null),45030389,3566907,3,1,28672,0
(null),45030389,3566907,3,1,30720,0
(null),45030389,3566907,3,1,32768,0
(null),45030389,3566907,3,1,18446744073709551615,0
