matrix,nnz,nrows,cache_id,shared,mindist,count
(null),52728362,1453908,0,0,0,9347379
(null),52728362,1453908,0,0,64,1162502
(null),52728362,1453908,0,0,128,952253
(null),52728362,1453908,0,0,192,815619
(null),52728362,1453908,0,0,256,15523817
(null),52728362,1453908,0,0,2048,12008457
(null),52728362,1453908,0,0,4096,7852316
(null),52728362,1453908,0,0,6144,4720552
(null),52728362,1453908,0,0,8192,1925210
(null),52728362,1453908,0,0,10240,956950
(null),52728362,1453908,0,0,12288,144256
(null),52728362,1453908,0,0,14336,374
(null),52728362,1453908,0,0,16384,9
(null),52728362,1453908,0,0,18432,0
(null),52728362,1453908,0,0,20480,0
(null),52728362,1453908,0,0,22528,0
(null),52728362,1453908,0,0,24576,0
(null),52728362,1453908,0,0,26624,0
(null),52728362,1453908,0,0,28672,0
(null),52728362,1453908,0,0,30720,0
(null),52728362,1453908,0,0,32768,226485
(null),52728362,1453908,0,0,18446744073709551615,0
(null),52728362,1453908,0,1,0,9347379
(null),52728362,1453908,0,1,64,1162502
(null),52728362,1453908,0,1,128,952253
(null),52728362,1453908,0,1,192,815619
(null),52728362,1453908,0,1,256,15523817
(null),52728362,1453908,0,1,2048,12008457
(null),52728362,1453908,0,1,4096,7852316
(null),52728362,1453908,0,1,6144,4720552
(null),52728362,1453908,0,1,8192,1925210
(null),52728362,1453908,0,1,10240,956950
(null),52728362,1453908,0,1,12288,144256
(null),52728362,1453908,0,1,14336,374
(null),52728362,1453908,0,1,16384,9
(null),52728362,1453908,0,1,18432,0
(null),52728362,1453908,0,1,20480,0
(null),52728362,1453908,0,1,22528,0
(null),52728362,1453908,0,1,24576,0
(null),52728362,1453908,0,1,26624,0
(null),52728362,1453908,0,1,28672,0
(null),52728362,1453908,0,1,30720,0
(null),52728362,1453908,0,1,32768,226485
(null),52728362,1453908,0,1,18446744073709551615,0
(null),52728362,1453908,1,1,0,0
(null),52728362,1453908,1,1,64,0
(null),52728362,1453908,1,1,128,0
(null),52728362,1453908,1,1,192,0
(null),52728362,1453908,1,1,256,0
(null),52728362,1453908,1,1,2048,0
(null),52728362,1453908,1,1,4096,0
(null),52728362,1453908,1,1,6144,0
(null),52728362,1453908,1,1,8192,0
(null),52728362,1453908,1,1,10240,0
(null),52728362,1453908,1,1,12288,0
(null),52728362,1453908,1,1,14336,0
(null),52728362,1453908,1,1,16384,0
(null),52728362,1453908,1,1,18432,0
(null),52728362,1453908,1,1,20480,0
(null),52728362,1453908,1,1,22528,0
(null),52728362,1453908,1,1,24576,0
(null),52728362,1453908,1,1,26624,0
(null),52728362,1453908,1,1,28672,0
(null),52728362,1453908,1,1,30720,0
(null),52728362,1453908,1,1,32768,0
(null),52728362,1453908,1,1,18446744073709551615,0
(null),52728362,1453908,2,1,0,0
(null),52728362,1453908,2,1,64,0
(null),52728362,1453908,2,1,128,0
(null),52728362,1453908,2,1,192,0
(null),52728362,1453908,2,1,256,0
(null),52728362,1453908,2,1,2048,0
(null),52728362,1453908,2,1,4096,0
(null),52728362,1453908,2,1,6144,0
(null),52728362,1453908,2,1,8192,0
(null),52728362,1453908,2,1,10240,0
(null),52728362,1453908,2,1,12288,0
(null),52728362,1453908,2,1,14336,0
(null),52728362,1453908,2,1,16384,0
(null),52728362,1453908,2,1,18432,0
(null),52728362,1453908,2,1,20480,0
(null),52728362,1453908,2,1,22528,0
(null),52728362,1453908,2,1,24576,0
(null),52728362,1453908,2,1,26624,0
(null),52728362,1453908,2,1,28672,0
(null),52728362,1453908,2,1,30720,0
(null),52728362,1453908,2,1,32768,0
(null),52728362,1453908,2,1,18446744073709551615,0
(null),52728362,1453908,3,1,0,0
(null),52728362,1453908,3,1,64,0
(null),52728362,1453908,3,1,128,0
(null),52728362,1453908,3,1,192,0
(null),52728362,1453908,3,1,256,0
(null),52728362,1453908,3,1,2048,0
(null),52728362,1453908,3,1,4096,0
(null),52728362,1453908,3,1,6144,0
(null),52728362,1453908,3,1,8192,0
(null),52728362,1453908,3,1,10240,0
(null),52728362,1453908,3,1,12288,0
(null),52728362,1453908,3,1,14336,0
(null),52728362,1453908,3,1,16384,0
(null),52728362,1453908,3,1,18432,0
(null),52728362,1453908,3,1,20480,0
(null),52728362,1453908,3,1,22528,0
(null),52728362,1453908,3,1,24576,0
(null),52728362,1453908,3,1,26624,0
(null),52728362,1453908,3,1,28672,0
(null),52728362,1453908,3,1,30720,0
(null),52728362,1453908,3,1,32768,0
(null),52728362,1453908,3,1,18446744073709551615,0
