matrix,nnz,nrows,cache_id,shared,mindist,count
(null),23042677,2999349,0,0,0,25803492
(null),23042677,2999349,0,0,64,1182157
(null),23042677,2999349,0,0,128,580416
(null),23042677,2999349,0,0,192,371650
(null),23042677,2999349,0,0,256,665535
(null),23042677,2999349,0,0,2048,908
(null),23042677,2999349,0,0,4096,1663
(null),23042677,2999349,0,0,6144,2726
(null),23042677,2999349,0,0,8192,2302
(null),23042677,2999349,0,0,10240,1401
(null),23042677,2999349,0,0,12288,1412
(null),23042677,2999349,0,0,14336,1220
(null),23042677,2999349,0,0,16384,851
(null),23042677,2999349,0,0,18432,920
(null),23042677,2999349,0,0,20480,1250
(null),23042677,2999349,0,0,22528,1242
(null),23042677,2999349,0,0,24576,1114
(null),23042677,2999349,0,0,26624,857
(null),23042677,2999349,0,0,28672,955
(null),23042677,2999349,0,0,30720,987
(null),23042677,2999349,0,0,32768,418318
(null),23042677,2999349,0,0,18446744073709551615,0
(null),23042677,2999349,0,1,0,25803492
(null),23042677,2999349,0,1,64,1182157
(null),23042677,2999349,0,1,128,580416
(null),23042677,2999349,0,1,192,371650
(null),23042677,2999349,0,1,256,665535
(null),23042677,2999349,0,1,2048,908
(null),23042677,2999349,0,1,4096,1663
(null),23042677,2999349,0,1,6144,2726
(null),23042677,2999349,0,1,8192,2302
(null),23042677,2999349,0,1,10240,1401
(null),23042677,2999349,0,1,12288,1412
(null),23042677,2999349,0,1,14336,1220
(null),23042677,2999349,0,1,16384,851
(null),23042677,2999349,0,1,18432,920
(null),23042677,2999349,0,1,20480,1250
(null),23042677,2999349,0,1,22528,1242
(null),23042677,2999349,0,1,24576,1114
(null),23042677,2999349,0,1,26624,857
(null),23042677,2999349,0,1,28672,955
(null),23042677,2999349,0,1,30720,987
(null),23042677,2999349,0,1,32768,418318
(null),23042677,2999349,0,1,18446744073709551615,0
(null),23042677,2999349,1,1,0,0
(null),23042677,2999349,1,1,64,0
(null),23042677,2999349,1,1,128,0
(null),23042677,2999349,1,1,192,0
(null),23042677,2999349,1,1,256,0
(null),23042677,2999349,1,1,2048,0
(null),23042677,2999349,1,1,4096,0
(null),23042677,2999349,1,1,6144,0
(null),23042677,2999349,1,1,8192,0
(null),23042677,2999349,1,1,10240,0
(null),23042677,2999349,1,1,12288,0
(null),23042677,2999349,1,1,14336,0
(null),23042677,2999349,1,1,16384,0
(null),23042677,2999349,1,1,18432,0
(null),23042677,2999349,1,1,20480,0
(null),23042677,2999349,1,1,22528,0
(null),23042677,2999349,1,1,24576,0
(null),23042677,2999349,1,1,26624,0
(null),23042677,2999349,1,1,28672,0
(null),23042677,2999349,1,1,30720,0
(null),23042677,2999349,1,1,32768,0
(null),23042677,2999349,1,1,18446744073709551615,0
(null),23042677,2999349,2,1,0,0
(null),23042677,2999349,2,1,64,0
(null),23042677,2999349,2,1,128,0
(null),23042677,2999349,2,1,192,0
(null),23042677,2999349,2,1,256,0
(null),23042677,2999349,2,1,2048,0
(null),23042677,2999349,2,1,4096,0
(null),23042677,2999349,2,1,6144,0
(null),23042677,2999349,2,1,8192,0
(null),23042677,2999349,2,1,10240,0
(null),23042677,2999349,2,1,12288,0
(null),23042677,2999349,2,1,14336,0
(null),23042677,2999349,2,1,16384,0
(null),23042677,2999349,2,1,18432,0
(null),23042677,2999349,2,1,20480,0
(null),23042677,2999349,2,1,22528,0
(null),23042677,2999349,2,1,24576,0
(null),23042677,2999349,2,1,26624,0
(null),23042677,2999349,2,1,28672,0
(null),23042677,2999349,2,1,30720,0
(null),23042677,2999349,2,1,32768,0
(null),23042677,2999349,2,1,18446744073709551615,0
(null),23042677,2999349,3,1,0,0
(null),23042677,2999349,3,1,64,0
(null),23042677,2999349,3,1,128,0
(null),23042677,2999349,3,1,192,0
(null),23042677,2999349,3,1,256,0
(null),23042677,2999349,3,1,2048,0
(null),23042677,2999349,3,1,4096,0
(null),23042677,2999349,3,1,6144,0
(null),23042677,2999349,3,1,8192,0
(null),23042677,2999349,3,1,10240,0
(null),23042677,2999349,3,1,12288,0
(null),23042677,2999349,3,1,14336,0
(null),23042677,2999349,3,1,16384,0
(null),23042677,2999349,3,1,18432,0
(null),23042677,2999349,3,1,20480,0
(null),23042677,2999349,3,1,22528,0
(null),23042677,2999349,3,1,24576,0
(null),23042677,2999349,3,1,26624,0
(null),23042677,2999349,3,1,28672,0
(null),23042677,2999349,3,1,30720,0
(null),23042677,2999349,3,1,32768,0
(null),23042677,2999349,3,1,18446744073709551615,0
