matrix,nnz,nrows,cache_id,shared,mindist,count
(null),6115633,113081,0,0,0,17676440
(null),6115633,113081,0,0,64,487170
(null),6115633,113081,0,0,128,36546
(null),6115633,113081,0,0,192,16255
(null),6115633,113081,0,0,256,30218
(null),6115633,113081,0,0,2048,7918
(null),6115633,113081,0,0,4096,4924
(null),6115633,113081,0,0,6144,3513
(null),6115633,113081,0,0,8192,2454
(null),6115633,113081,0,0,10240,2731
(null),6115633,113081,0,0,12288,1856
(null),6115633,113081,0,0,14336,1756
(null),6115633,113081,0,0,16384,1841
(null),6115633,113081,0,0,18432,1751
(null),6115633,113081,0,0,20480,416
(null),6115633,113081,0,0,22528,0
(null),6115633,113081,0,0,24576,0
(null),6115633,113081,0,0,26624,0
(null),6115633,113081,0,0,28672,0
(null),6115633,113081,0,0,30720,0
(null),6115633,113081,0,0,32768,297273
(null),6115633,113081,0,0,18446744073709551615,0
(null),6115633,113081,0,1,0,17676440
(null),6115633,113081,0,1,64,487170
(null),6115633,113081,0,1,128,36546
(null),6115633,113081,0,1,192,16255
(null),6115633,113081,0,1,256,30218
(null),6115633,113081,0,1,2048,7918
(null),6115633,113081,0,1,4096,4924
(null),6115633,113081,0,1,6144,3513
(null),6115633,113081,0,1,8192,2454
(null),6115633,113081,0,1,10240,2731
(null),6115633,113081,0,1,12288,1856
(null),6115633,113081,0,1,14336,1756
(null),6115633,113081,0,1,16384,1841
(null),6115633,113081,0,1,18432,1751
(null),6115633,113081,0,1,20480,416
(null),6115633,113081,0,1,22528,0
(null),6115633,113081,0,1,24576,0
(null),6115633,113081,0,1,26624,0
(null),6115633,113081,0,1,28672,0
(null),6115633,113081,0,1,30720,0
(null),6115633,113081,0,1,32768,297273
(null),6115633,113081,0,1,18446744073709551615,0
(null),6115633,113081,1,1,0,0
(null),6115633,113081,1,1,64,0
(null),6115633,113081,1,1,128,0
(null),6115633,113081,1,1,192,0
(null),6115633,113081,1,1,256,0
(null),6115633,113081,1,1,2048,0
(null),6115633,113081,1,1,4096,0
(null),6115633,113081,1,1,6144,0
(null),6115633,113081,1,1,8192,0
(null),6115633,113081,1,1,10240,0
(null),6115633,113081,1,1,12288,0
(null),6115633,113081,1,1,14336,0
(null),6115633,113081,1,1,16384,0
(null),6115633,113081,1,1,18432,0
(null),6115633,113081,1,1,20480,0
(null),6115633,113081,1,1,22528,0
(null),6115633,113081,1,1,24576,0
(null),6115633,113081,1,1,26624,0
(null),6115633,113081,1,1,28672,0
(null),6115633,113081,1,1,30720,0
(null),6115633,113081,1,1,32768,0
(null),6115633,113081,1,1,18446744073709551615,0
(null),6115633,113081,2,1,0,0
(null),6115633,113081,2,1,64,0
(null),6115633,113081,2,1,128,0
(null),6115633,113081,2,1,192,0
(null),6115633,113081,2,1,256,0
(null),6115633,113081,2,1,2048,0
(null),6115633,113081,2,1,4096,0
(null),6115633,113081,2,1,6144,0
(null),6115633,113081,2,1,8192,0
(null),6115633,113081,2,1,10240,0
(null),6115633,113081,2,1,12288,0
(null),6115633,113081,2,1,14336,0
(null),6115633,113081,2,1,16384,0
(null),6115633,113081,2,1,18432,0
(null),6115633,113081,2,1,20480,0
(null),6115633,113081,2,1,22528,0
(null),6115633,113081,2,1,24576,0
(null),6115633,113081,2,1,26624,0
(null),6115633,113081,2,1,28672,0
(null),6115633,113081,2,1,30720,0
(null),6115633,113081,2,1,32768,0
(null),6115633,113081,2,1,18446744073709551615,0
(null),6115633,113081,3,1,0,0
(null),6115633,113081,3,1,64,0
(null),6115633,113081,3,1,128,0
(null),6115633,113081,3,1,192,0
(null),6115633,113081,3,1,256,0
(null),6115633,113081,3,1,2048,0
(null),6115633,113081,3,1,4096,0
(null),6115633,113081,3,1,6144,0
(null),6115633,113081,3,1,8192,0
(null),6115633,113081,3,1,10240,0
(null),6115633,113081,3,1,12288,0
(null),6115633,113081,3,1,14336,0
(null),6115633,113081,3,1,16384,0
(null),6115633,113081,3,1,18432,0
(null),6115633,113081,3,1,20480,0
(null),6115633,113081,3,1,22528,0
(null),6115633,113081,3,1,24576,0
(null),6115633,113081,3,1,26624,0
(null),6115633,113081,3,1,28672,0
(null),6115633,113081,3,1,30720,0
(null),6115633,113081,3,1,32768,0
(null),6115633,113081,3,1,18446744073709551615,0
