matrix,nnz,nrows,cache_id,shared,mindist,count
(null),11111110,24575,0,0,0,30617787
(null),11111110,24575,0,0,64,592889
(null),11111110,24575,0,0,128,538979
(null),11111110,24575,0,0,192,271047
(null),11111110,24575,0,0,256,826150
(null),11111110,24575,0,0,2048,2861
(null),11111110,24575,0,0,4096,2479
(null),11111110,24575,0,0,6144,920
(null),11111110,24575,0,0,8192,1053
(null),11111110,24575,0,0,10240,975
(null),11111110,24575,0,0,12288,443
(null),11111110,24575,0,0,14336,206
(null),11111110,24575,0,0,16384,849
(null),11111110,24575,0,0,18432,96
(null),11111110,24575,0,0,20480,0
(null),11111110,24575,0,0,22528,338
(null),11111110,24575,0,0,24576,368
(null),11111110,24575,0,0,26624,210
(null),11111110,24575,0,0,28672,0
(null),11111110,24575,0,0,30720,0
(null),11111110,24575,0,0,32768,524831
(null),11111110,24575,0,0,18446744073709551615,0
(null),11111110,24575,0,1,0,30617787
(null),11111110,24575,0,1,64,592889
(null),11111110,24575,0,1,128,538979
(null),11111110,24575,0,1,192,271047
(null),11111110,24575,0,1,256,826150
(null),11111110,24575,0,1,2048,2861
(null),11111110,24575,0,1,4096,2479
(null),11111110,24575,0,1,6144,920
(null),11111110,24575,0,1,8192,1053
(null),11111110,24575,0,1,10240,975
(null),11111110,24575,0,1,12288,443
(null),11111110,24575,0,1,14336,206
(null),11111110,24575,0,1,16384,849
(null),11111110,24575,0,1,18432,96
(null),11111110,24575,0,1,20480,0
(null),11111110,24575,0,1,22528,338
(null),11111110,24575,0,1,24576,368
(null),11111110,24575,0,1,26624,210
(null),11111110,24575,0,1,28672,0
(null),11111110,24575,0,1,30720,0
(null),11111110,24575,0,1,32768,524831
(null),11111110,24575,0,1,18446744073709551615,0
(null),11111110,24575,1,1,0,0
(null),11111110,24575,1,1,64,0
(null),11111110,24575,1,1,128,0
(null),11111110,24575,1,1,192,0
(null),11111110,24575,1,1,256,0
(null),11111110,24575,1,1,2048,0
(null),11111110,24575,1,1,4096,0
(null),11111110,24575,1,1,6144,0
(null),11111110,24575,1,1,8192,0
(null),11111110,24575,1,1,10240,0
(null),11111110,24575,1,1,12288,0
(null),11111110,24575,1,1,14336,0
(null),11111110,24575,1,1,16384,0
(null),11111110,24575,1,1,18432,0
(null),11111110,24575,1,1,20480,0
(null),11111110,24575,1,1,22528,0
(null),11111110,24575,1,1,24576,0
(null),11111110,24575,1,1,26624,0
(null),11111110,24575,1,1,28672,0
(null),11111110,24575,1,1,30720,0
(null),11111110,24575,1,1,32768,0
(null),11111110,24575,1,1,18446744073709551615,0
(null),11111110,24575,2,1,0,0
(null),11111110,24575,2,1,64,0
(null),11111110,24575,2,1,128,0
(null),11111110,24575,2,1,192,0
(null),11111110,24575,2,1,256,0
(null),11111110,24575,2,1,2048,0
(null),11111110,24575,2,1,4096,0
(null),11111110,24575,2,1,6144,0
(null),11111110,24575,2,1,8192,0
(null),11111110,24575,2,1,10240,0
(null),11111110,24575,2,1,12288,0
(null),11111110,24575,2,1,14336,0
(null),11111110,24575,2,1,16384,0
(null),11111110,24575,2,1,18432,0
(null),11111110,24575,2,1,20480,0
(null),11111110,24575,2,1,22528,0
(null),11111110,24575,2,1,24576,0
(null),11111110,24575,2,1,26624,0
(null),11111110,24575,2,1,28672,0
(null),11111110,24575,2,1,30720,0
(null),11111110,24575,2,1,32768,0
(null),11111110,24575,2,1,18446744073709551615,0
(null),11111110,24575,3,1,0,0
(null),11111110,24575,3,1,64,0
(null),11111110,24575,3,1,128,0
(null),11111110,24575,3,1,192,0
(null),11111110,24575,3,1,256,0
(null),11111110,24575,3,1,2048,0
(null),11111110,24575,3,1,4096,0
(null),11111110,24575,3,1,6144,0
(null),11111110,24575,3,1,8192,0
(null),11111110,24575,3,1,10240,0
(null),11111110,24575,3,1,12288,0
(null),11111110,24575,3,1,14336,0
(null),11111110,24575,3,1,16384,0
(null),11111110,24575,3,1,18432,0
(null),11111110,24575,3,1,20480,0
(null),11111110,24575,3,1,22528,0
(null),11111110,24575,3,1,24576,0
(null),11111110,24575,3,1,26624,0
(null),11111110,24575,3,1,28672,0
(null),11111110,24575,3,1,30720,0
(null),11111110,24575,3,1,32768,0
(null),11111110,24575,3,1,18446744073709551615,0
