matrix,nnz,nrows,cache_id,shared,mindist,count
(null),127206144,2164760,0,0,0,379113172
(null),127206144,2164760,0,0,64,84117
(null),127206144,2164760,0,0,128,46279
(null),127206144,2164760,0,0,192,40172
(null),127206144,2164760,0,0,256,258546
(null),127206144,2164760,0,0,2048,62174
(null),127206144,2164760,0,0,4096,18934
(null),127206144,2164760,0,0,6144,6366
(null),127206144,2164760,0,0,8192,4981
(null),127206144,2164760,0,0,10240,4863
(null),127206144,2164760,0,0,12288,3637
(null),127206144,2164760,0,0,14336,3602
(null),127206144,2164760,0,0,16384,3586
(null),127206144,2164760,0,0,18432,3096
(null),127206144,2164760,0,0,20480,2824
(null),127206144,2164760,0,0,22528,2630
(null),127206144,2164760,0,0,24576,2770
(null),127206144,2164760,0,0,26624,2721
(null),127206144,2164760,0,0,28672,2789
(null),127206144,2164760,0,0,30720,2684
(null),127206144,2164760,0,0,32768,6278010
(null),127206144,2164760,0,0,18446744073709551615,0
(null),127206144,2164760,0,1,0,379113172
(null),127206144,2164760,0,1,64,84117
(null),127206144,2164760,0,1,128,46279
(null),127206144,2164760,0,1,192,40172
(null),127206144,2164760,0,1,256,258546
(null),127206144,2164760,0,1,2048,62174
(null),127206144,2164760,0,1,4096,18934
(null),127206144,2164760,0,1,6144,6366
(null),127206144,2164760,0,1,8192,4981
(null),127206144,2164760,0,1,10240,4863
(null),127206144,2164760,0,1,12288,3637
(null),127206144,2164760,0,1,14336,3602
(null),127206144,2164760,0,1,16384,3586
(null),127206144,2164760,0,1,18432,3096
(null),127206144,2164760,0,1,20480,2824
(null),127206144,2164760,0,1,22528,2630
(null),127206144,2164760,0,1,24576,2770
(null),127206144,2164760,0,1,26624,2721
(null),127206144,2164760,0,1,28672,2789
(null),127206144,2164760,0,1,30720,2684
(null),127206144,2164760,0,1,32768,6278010
(null),127206144,2164760,0,1,18446744073709551615,0
(null),127206144,2164760,1,1,0,0
(null),127206144,2164760,1,1,64,0
(null),127206144,2164760,1,1,128,0
(null),127206144,2164760,1,1,192,0
(null),127206144,2164760,1,1,256,0
(null),127206144,2164760,1,1,2048,0
(null),127206144,2164760,1,1,4096,0
(null),127206144,2164760,1,1,6144,0
(null),127206144,2164760,1,1,8192,0
(null),127206144,2164760,1,1,10240,0
(null),127206144,2164760,1,1,12288,0
(null),127206144,2164760,1,1,14336,0
(null),127206144,2164760,1,1,16384,0
(null),127206144,2164760,1,1,18432,0
(null),127206144,2164760,1,1,20480,0
(null),127206144,2164760,1,1,22528,0
(null),127206144,2164760,1,1,24576,0
(null),127206144,2164760,1,1,26624,0
(null),127206144,2164760,1,1,28672,0
(null),127206144,2164760,1,1,30720,0
(null),127206144,2164760,1,1,32768,0
(null),127206144,2164760,1,1,18446744073709551615,0
(null),127206144,2164760,2,1,0,0
(null),127206144,2164760,2,1,64,0
(null),127206144,2164760,2,1,128,0
(null),127206144,2164760,2,1,192,0
(null),127206144,2164760,2,1,256,0
(null),127206144,2164760,2,1,2048,0
(null),127206144,2164760,2,1,4096,0
(null),127206144,2164760,2,1,6144,0
(null),127206144,2164760,2,1,8192,0
(null),127206144,2164760,2,1,10240,0
(null),127206144,2164760,2,1,12288,0
(null),127206144,2164760,2,1,14336,0
(null),127206144,2164760,2,1,16384,0
(null),127206144,2164760,2,1,18432,0
(null),127206144,2164760,2,1,20480,0
(null),127206144,2164760,2,1,22528,0
(null),127206144,2164760,2,1,24576,0
(null),127206144,2164760,2,1,26624,0
(null),127206144,2164760,2,1,28672,0
(null),127206144,2164760,2,1,30720,0
(null),127206144,2164760,2,1,32768,0
(null),127206144,2164760,2,1,18446744073709551615,0
(null),127206144,2164760,3,1,0,0
(null),127206144,2164760,3,1,64,0
(null),127206144,2164760,3,1,128,0
(null),127206144,2164760,3,1,192,0
(null),127206144,2164760,3,1,256,0
(null),127206144,2164760,3,1,2048,0
(null),127206144,2164760,3,1,4096,0
(null),127206144,2164760,3,1,6144,0
(null),127206144,2164760,3,1,8192,0
(null),127206144,2164760,3,1,10240,0
(null),127206144,2164760,3,1,12288,0
(null),127206144,2164760,3,1,14336,0
(null),127206144,2164760,3,1,16384,0
(null),127206144,2164760,3,1,18432,0
(null),127206144,2164760,3,1,20480,0
(null),127206144,2164760,3,1,22528,0
(null),127206144,2164760,3,1,24576,0
(null),127206144,2164760,3,1,26624,0
(null),127206144,2164760,3,1,28672,0
(null),127206144,2164760,3,1,30720,0
(null),127206144,2164760,3,1,32768,0
(null),127206144,2164760,3,1,18446744073709551615,0
