matrix,nnz,nrows,cache_id,shared,mindist,count
(null),1709544,350169,0,0,0,5136701
(null),1709544,350169,0,0,64,191504
(null),1709544,350169,0,0,128,115999
(null),1709544,350169,0,0,192,70531
(null),1709544,350169,0,0,256,193906
(null),1709544,350169,0,0,2048,905
(null),1709544,350169,0,0,4096,358
(null),1709544,350169,0,0,6144,392
(null),1709544,350169,0,0,8192,182
(null),1709544,350169,0,0,10240,330
(null),1709544,350169,0,0,12288,302
(null),1709544,350169,0,0,14336,313
(null),1709544,350169,0,0,16384,322
(null),1709544,350169,0,0,18432,360
(null),1709544,350169,0,0,20480,263
(null),1709544,350169,0,0,22528,372
(null),1709544,350169,0,0,24576,414
(null),1709544,350169,0,0,26624,247
(null),1709544,350169,0,0,28672,409
(null),1709544,350169,0,0,30720,178
(null),1709544,350169,0,0,32768,114983
(null),1709544,350169,0,0,18446744073709551615,0
(null),1709544,350169,0,1,0,5136701
(null),1709544,350169,0,1,64,191504
(null),1709544,350169,0,1,128,115999
(null),1709544,350169,0,1,192,70531
(null),1709544,350169,0,1,256,193906
(null),1709544,350169,0,1,2048,905
(null),1709544,350169,0,1,4096,358
(null),1709544,350169,0,1,6144,392
(null),1709544,350169,0,1,8192,182
(null),1709544,350169,0,1,10240,330
(null),1709544,350169,0,1,12288,302
(null),1709544,350169,0,1,14336,313
(null),1709544,350169,0,1,16384,322
(null),1709544,350169,0,1,18432,360
(null),1709544,350169,0,1,20480,263
(null),1709544,350169,0,1,22528,372
(null),1709544,350169,0,1,24576,414
(null),1709544,350169,0,1,26624,247
(null),1709544,350169,0,1,28672,409
(null),1709544,350169,0,1,30720,178
(null),1709544,350169,0,1,32768,114983
(null),1709544,350169,0,1,18446744073709551615,0
(null),1709544,350169,1,1,0,0
(null),1709544,350169,1,1,64,0
(null),1709544,350169,1,1,128,0
(null),1709544,350169,1,1,192,0
(null),1709544,350169,1,1,256,0
(null),1709544,350169,1,1,2048,0
(null),1709544,350169,1,1,4096,0
(null),1709544,350169,1,1,6144,0
(null),1709544,350169,1,1,8192,0
(null),1709544,350169,1,1,10240,0
(null),1709544,350169,1,1,12288,0
(null),1709544,350169,1,1,14336,0
(null),1709544,350169,1,1,16384,0
(null),1709544,350169,1,1,18432,0
(null),1709544,350169,1,1,20480,0
(null),1709544,350169,1,1,22528,0
(null),1709544,350169,1,1,24576,0
(null),1709544,350169,1,1,26624,0
(null),1709544,350169,1,1,28672,0
(null),1709544,350169,1,1,30720,0
(null),1709544,350169,1,1,32768,0
(null),1709544,350169,1,1,18446744073709551615,0
(null),1709544,350169,2,1,0,0
(null),1709544,350169,2,1,64,0
(null),1709544,350169,2,1,128,0
(null),1709544,350169,2,1,192,0
(null),1709544,350169,2,1,256,0
(null),1709544,350169,2,1,2048,0
(null),1709544,350169,2,1,4096,0
(null),1709544,350169,2,1,6144,0
(null),1709544,350169,2,1,8192,0
(null),1709544,350169,2,1,10240,0
(null),1709544,350169,2,1,12288,0
(null),1709544,350169,2,1,14336,0
(null),1709544,350169,2,1,16384,0
(null),1709544,350169,2,1,18432,0
(null),1709544,350169,2,1,20480,0
(null),1709544,350169,2,1,22528,0
(null),1709544,350169,2,1,24576,0
(null),1709544,350169,2,1,26624,0
(null),1709544,350169,2,1,28672,0
(null),1709544,350169,2,1,30720,0
(null),1709544,350169,2,1,32768,0
(null),1709544,350169,2,1,18446744073709551615,0
(null),1709544,350169,3,1,0,0
(null),1709544,350169,3,1,64,0
(null),1709544,350169,3,1,128,0
(null),1709544,350169,3,1,192,0
(null),1709544,350169,3,1,256,0
(null),1709544,350169,3,1,2048,0
(null),1709544,350169,3,1,4096,0
(null),1709544,350169,3,1,6144,0
(null),1709544,350169,3,1,8192,0
(null),1709544,350169,3,1,10240,0
(null),1709544,350169,3,1,12288,0
(null),1709544,350169,3,1,14336,0
(null),1709544,350169,3,1,16384,0
(null),1709544,350169,3,1,18432,0
(null),1709544,350169,3,1,20480,0
(null),1709544,350169,3,1,22528,0
(null),1709544,350169,3,1,24576,0
(null),1709544,350169,3,1,26624,0
(null),1709544,350169,3,1,28672,0
(null),1709544,350169,3,1,30720,0
(null),1709544,350169,3,1,32768,0
(null),1709544,350169,3,1,18446744073709551615,0
